time,torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
0.24,329.76509,498.4855,380.24894,-3.4730179,5.142755,-4.5928636,7.2614865,-32.662418,20.73292,57.104786,110.84889,537.15409,132.30589,557.01135,1104.472,673.25971,512.81041,187.25375,307.57675,693.55185
0.25,329.78511,498.52213,380.19391,-3.4854584,5.1658888,-4.578846,7.3242025,-32.622696,20.697088,56.98996,110.84348,537.77508,132.08974,557.11478,1104.4673,673.25116,512.81358,187.74141,307.41497,693.3189
0.26,329.80042,498.55774,380.14202,-3.4671988,5.1665049,-4.5541191,7.3825006,-32.610188,20.66913,56.879265,110.8587,538.29157,131.78478,557.23695,1104.4592,673.25406,512.80423,188.25325,307.34759,693.1392
0.27,329.84657,498.60212,380.08869,-3.4788082,5.1841102,-4.5263953,7.5298266,-32.62355,20.667595,56.700291,110.92776,538.79399,131.50009,557.13963,1104.4762,673.23251,512.80404,188.78029,307.28377,692.94366
0.28,329.87988,498.65732,380.03244,-3.4553187,5.2170238,-4.5216856,7.6018085,-32.619019,20.723427,56.564846,110.90622,539.20829,131.30787,556.98153,1104.4786,673.25867,512.81697,189.32481,307.20441,692.72486
0.29,329.91134,498.70637,379.9916,-3.4233432,5.2280407,-4.4916134,7.6511679,-32.63401,20.797413,56.475052,110.90645,539.53617,131.1091,556.71399,1104.4635,673.2411,512.80528,189.8972,307.101,692.56233
0.3,329.95708,498.76986,379.93834,-3.4412379,5.2379279,-4.4726896,7.7386694,-32.620525,20.890791,56.390774,110.86669,539.89998,131.01435,556.57653,1104.4742,673.26138,512.8103,190.386,307.10972,692.50677
0.31,330.02588,498.85217,379.89677,-3.4308174,5.2647524,-4.4673743,7.7630234,-32.618839,21.022512,56.347614,110.92661,540.03338,130.80159,556.20954,1104.4608,673.24742,512.80745,190.78609,307.0936,692.47148
0.32,330.10688,498.9515,379.82461,-3.4372137,5.2998896,-4.4322209,7.7996588,-32.631657,21.129528,56.31665,110.95228,540.14983,130.64445,555.7901,1104.4584,673.25095,512.79943,191.20314,307.10785,692.49599
0.33,330.1971,499.04601,379.78524,-3.456593,5.3373427,-4.413095,7.8568468,-32.689892,21.232208,56.300842,110.96183,540.18948,130.49017,555.42742,1104.465,673.25079,512.79541,191.58466,307.16686,692.53842
0.34,330.2631,499.10042,379.69945,-3.3713181,5.3294258,-4.3677516,7.770596,-32.716843,21.286707,56.294754,110.88778,540.16998,130.31028,555.10835,1104.4529,673.25017,512.81292,191.90089,307.22173,692.57923
0.35,330.36679,499.19992,379.62318,-3.3901925,5.3590188,-4.3217316,7.7884016,-32.752338,21.342611,56.28511,110.79993,540.0847,130.19983,554.76566,1104.4595,673.2373,512.79401,192.09719,307.2776,692.66708
0.36,330.4545,499.28128,379.53816,-3.3969331,5.3722806,-4.2869587,7.7654881,-32.764317,21.388231,56.273197,110.82338,539.79178,129.93184,554.4802,1104.4781,673.25446,512.80811,192.28986,307.4371,692.83648
0.37,330.52878,499.35752,379.42153,-3.3490736,5.381588,-4.2383599,7.6998038,-32.783417,21.410065,56.239979,110.61662,539.6344,129.83449,554.31256,1104.4712,673.2513,512.80815,192.45294,307.48643,692.99453
0.38,330.66209,499.54994,379.33934,-3.3954995,5.4233174,-4.1894736,7.7246971,-32.847267,21.42371,56.222801,110.57858,539.49765,129.71928,554.242,1104.455,673.23562,512.80254,192.51583,307.69839,693.16543
0.39,330.76739,499.64365,379.17994,-3.3686442,5.4147243,-4.1515169,7.6518817,-32.844357,21.414215,56.226986,110.45454,539.36201,129.60069,554.20405,1104.4389,673.22971,512.78749,192.59992,307.72327,693.31068
0.4,330.8605,499.74344,379.08199,-3.3471043,5.421082,-4.0979137,7.6015429,-32.901932,21.38999,56.212151,110.34132,539.26811,129.54351,554.22652,1104.4523,673.25303,512.80035,192.64754,307.91721,693.4878
0.41,330.94813,499.83213,378.99638,-3.3228369,5.413846,-4.0731282,7.5435882,-32.87442,21.38562,56.183624,110.15048,539.2724,129.50207,554.32455,1104.465,673.25462,512.80004,192.71979,307.99885,693.6551
0.42,331.03231,499.94066,378.91044,-3.3200455,5.4086981,-4.025032,7.5046911,-32.918671,21.355354,56.19915,110.06567,539.13515,129.32575,554.44281,1104.4557,673.25226,512.79502,192.77018,308.11775,693.82826
0.43,331.11767,500.02123,378.89838,-3.4345605,5.443428,-3.9966724,7.6138759,-32.966629,21.344645,56.175621,109.90903,539.04396,129.21526,554.55868,1104.4607,673.23497,512.79205,192.83674,308.26868,694.01803
0.44,331.1609,500.03237,378.79832,-3.2942507,5.4000006,-3.9693983,7.4452639,-32.947575,21.315136,56.156624,109.81518,538.9737,129.16134,554.66243,1104.4618,673.2624,512.79057,192.8971,308.38318,694.21947
0.45,331.22427,500.06868,378.78532,-3.2785549,5.4067364,-3.9554701,7.4695435,-33.041149,21.335958,56.152855,109.71929,538.91694,129.02451,554.82582,1104.4615,673.24273,512.78981,192.96483,308.52069,694.40996
0.46,331.26592,500.10351,378.77973,-3.3016522,5.4188032,-3.9426806,7.4615421,-33.032391,21.349213,56.146172,109.62186,538.85481,128.94434,554.94249,1104.4607,673.24552,512.79126,193.08877,308.55895,694.59597
0.47,331.35044,500.16601,378.81444,-3.3746169,5.4296913,-3.9305003,7.5564294,-33.087433,21.411396,56.131161,109.71356,538.76409,128.72699,555.07198,1104.4608,673.22758,512.80373,193.17028,308.69396,694.79333
0.48,331.38288,500.17241,378.80978,-3.2712498,5.4029121,-3.9410815,7.4510918,-33.083977,21.466305,56.134167,109.6182,538.69366,128.61871,555.12965,1104.4486,673.24671,512.79237,193.28557,308.90926,694.99527
0.49,331.42545,500.20091,378.87709,-3.3771152,5.4223938,-3.9236522,7.5563407,-33.128277,21.513859,56.121826,109.60077,538.58571,128.48245,555.15816,1104.4485,673.24088,512.78753,193.40999,309.11286,695.13921
0.5,331.4484,500.23414,378.9242,-3.3715501,5.4045076,-3.9072025,7.5477972,-33.128803,21.591377,56.121368,109.48277,538.47386,128.33519,555.202,1104.4402,673.24123,512.78578,193.52971,309.22947,695.26956
0.51,331.4462,500.23173,378.98386,-3.3776085,5.3885708,-3.897332,7.5394864,-33.142757,21.648638,56.138844,109.4153,538.41611,128.25613,555.22475,1104.4496,673.2395,512.78419,193.64083,309.33155,695.42238
0.52,331.45871,500.23519,379.05805,-3.4339862,5.3828731,-3.88938,7.621563,-33.109276,21.700432,56.090847,109.45657,538.33146,128.07095,555.29517,1104.4599,673.24796,512.78513,193.74377,309.47151,695.56552
0.53,331.45594,500.23273,379.1216,-3.4211261,5.3706846,-3.8946593,7.6301975,-33.119305,21.771975,56.063599,109.42656,538.26938,127.98137,555.34834,1104.4418,673.23875,512.77177,193.84181,309.57475,695.68337
0.54,331.43451,500.20509,379.20576,-3.4460382,5.3635135,-3.912055,7.6684113,-33.084053,21.832212,56.018974,109.33385,538.2155,127.90566,555.37689,1104.454,673.21121,512.78482,193.89917,309.68338,695.77732
0.55,331.43978,500.18109,379.30164,-3.4824193,5.3542132,-3.9258928,7.7443314,-33.067905,21.924107,55.956429,109.31174,538.16209,127.8692,555.43176,1104.4558,673.2479,512.7805,193.96454,309.75421,695.86122
0.56,331.43349,500.15697,379.39792,-3.4794953,5.3242168,-3.9467814,7.7647204,-33.026432,21.981279,55.909428,109.23878,538.11223,127.79577,555.47949,1104.4418,673.23426,512.79366,194.00229,309.852,695.90446
0.57,331.42642,500.09448,379.5091,-3.4997063,5.3176479,-3.9818647,7.8306022,-33.016754,22.043434,55.8811,109.17284,538.04051,127.75448,555.50006,1104.4563,673.21298,512.78425,194.00165,309.88626,695.93315
0.58,331.44344,500.05498,379.61623,-3.5499699,5.3131065,-3.9925098,7.903429,-33.00658,22.096739,55.866955,109.16322,538.00014,127.73171,555.56821,1104.4426,673.24167,512.78296,193.99167,309.9796,695.95995
0.59,331.45454,500.00209,379.76066,-3.5109968,5.2874627,-4.0245132,7.8907094,-32.974796,22.127737,55.826168,109.09715,537.96757,127.75326,555.6356,1104.4472,673.20274,512.7809,193.96091,310.03645,695.96583
0.6,331.48354,499.96703,379.89667,-3.5666502,5.2654972,-4.0256042,7.9558949,-32.951153,22.106024,55.803825,109.06619,537.98575,127.7986,555.75456,1104.4521,673.2284,512.76563,193.90514,310.10013,695.95309
0.61,331.51661,499.94777,380.0394,-3.5742273,5.2457399,-4.0826073,7.9813185,-32.917103,22.135702,55.81517,109.02519,537.95258,127.74808,555.92775,1104.4594,673.21419,512.78018,193.809,310.13934,695.87993
0.62,331.56092,499.92858,380.17015,-3.5667453,5.2307491,-4.0995445,8.0038824,-32.906105,22.134714,55.780025,109.03056,537.88903,127.7338,556.04119,1104.4451,673.2228,512.77996,193.694,310.16239,695.81398
